CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18MF02066_620;331;47.58383;-59.33983;301560;2.08;02-nov-02;09:43:00;31.8;4.49;318.38114;318.06852;1.145;11.262;0.125;1;2.935;1;0.59;1;2.895;1;6;4.97;1.01
18MF02066_620;331;47.58383;-59.33983;301559;4.66;02-nov-02;09:43:00;31.95;3.84;317.80056;318.15784;0.895;9.175;0.12;1;4.04;1;0.695;1;3.295;1;6;5.81;1.23
18MF02066_620;331;47.58383;-59.33983;301558;14.97;02-nov-02;09:43:00;32.44;1.94;313.33456;318.24716;0.315;3.125;0.085;1;6.99;1;0.9;1;4.76;1;6;7.77;1.47
18MF02066_620;331;47.58383;-59.33983;301557;24.69;02-nov-02;09:43:00;32.47;1.74;312.79864;316.81804;0.185;2.86;0.08;1;7.88;1;0.98667;1;5.28;1;6;7.99;1.49
18MF02066_620;331;47.58383;-59.33983;301556;50.47;02-nov-02;09:43:00;32.58;1.25;303.50936;308.3773;0.055;1.545;0.085;1;8.275;1;0.99;1;5.355;1;6;8.36;1.55
18MF02066_620;331;47.58383;-59.33983;301555;100.13;02-nov-02;09:43:00;32.91;1.55;284.52886;289.35214;0.045;1.429;0.125;1;10.73;1;1.12;1;8.04;1;6;9.58;1.33
18MF02066_620;331;47.58383;-59.33983;301554;200.21;02-nov-02;09:43:00;34.71;6.48;165.73326;163.72356;NaN;1.166;0.07;1;21.67;1;1.55333;1;18.185;1;6;13.95;1.19
18MF02066_620;331;47.58383;-59.33983;301553;250.04;02-nov-02;09:43:00;34.83;6.04;176.94292;175.62545;NaN;1.131;0.06;1;22.505;1;1.545;1;19.655;1;6;14.57;1.15
18MF02066_621;341;47.428;-59.555;301570;1.88;02-nov-02;11:46:00;31.75;3.64;321.64132;335.3966;0.91;8.22;0.13;1;4.155;1;0.655;1;3.83;1;6;6.34;1.08
18MF02066_621;341;47.428;-59.555;301569;5.35;02-nov-02;11:46:00;31.75;3.63;321.73064;321.64132;0.93;8.438;0.12;1;4.15;1;0.69;1;3.875;1;6;6.01;1.07
18MF02066_621;341;47.428;-59.555;301568;14.78;02-nov-02;11:46:00;31.84;3.41;320.03356;321.41802;0.795;7.756;0.125;1;4.6;1;0.72;1;3.7;1;6;6.39;1.24
18MF02066_621;341;47.428;-59.555;301567;24.79;02-nov-02;11:46:00;32.13;2.67;317.35396;321.7753;0.42;5.363;0.11;1;6.1;1;0.82;1;4.54;1;6;7.44;1.34
18MF02066_621;341;47.428;-59.555;301566;50.17;02-nov-02;11:46:00;32.63;1.13;301.14238;305.29576;0.045;1.5;0.055;1;9.21;1;1.02;1;6.335;1;6;9.03;1.45
18MF02066_621;341;47.428;-59.555;301565;99.04;02-nov-02;11:46:00;33.36;2.84;246.38922;248.7562;0.035;1.35;0.07333;1;14.22667;1;1.31667;1;11.69;1;6;10.81;1.22
18MF02066_621;341;47.428;-59.555;301564;199.62;02-nov-02;11:46:00;34.57;6.54;166.53714;166.22452;NaN;1.248;0.07667;1;21.09;1;1.54667;1;16.34;1;6;13.64;1.29
18MF02066_621;341;47.428;-59.555;301563;300.45;02-nov-02;11:46:00;34.83;6.11;176.13904;175.2905;NaN;1.168;0.07;1;22.39667;1;1.60667;1;17.79;1;6;13.94;1.26
18MF02066_621;341;47.428;-59.555;301562;400.64;02-nov-02;11:46:00;34.87;5.27;174.21866;172.34294;NaN;1.255;0.055;1;22.6;1;1.65;1;25.07;1;6;13.70;0.90
18MF02066_621;341;47.428;-59.555;301561;463.67;02-nov-02;11:46:00;34.87;5.21;171.7177;170.63097;NaN;1.287;0.055;1;22.41;1;1.665;1;27.685;1;6;13.46;0.81
18MF02066_622;351;47.26533;-59.77933;301580;1.79;02-nov-02;14:20:00;31.94;3.21;319.36366;320.13777;0.71;6.923;0.15;1;5.22333;1;0.79;1;5.24;1;6;6.61;1.00
18MF02066_622;351;47.26533;-59.77933;301579;5.55;02-nov-02;14:20:00;31.94;3.21;319.5423;319.45298;0.76;7.61;0.15;1;5.22;1;0.79333;1;4.785;1;6;6.58;1.09
18MF02066_622;351;47.26533;-59.77933;301578;14.78;02-nov-02;14:20:00;31.98;3.11;319.7656;49.08134;0.685;7.947;0.14333;1;5.29667;1;0.78667;1;5.16;1;6;6.73;1.03
18MF02066_622;351;47.26533;-59.77933;301577;25.58;02-nov-02;14:20:00;32.18;2.55;317.48794;318.60444;0.39;5.288;0.11333;1;6.19;1;0.85667;1;4.755;1;6;7.23;1.30
18MF02066_622;351;47.26533;-59.77933;301576;47.79;02-nov-02;14:20:00;32.38;2.05;314.54038;316.95202;0.2;3.494;0.09;1;6.84667;1;0.9;1;5.385;1;6;7.61;1.27
18MF02066_622;351;47.26533;-59.77933;301575;101.03;02-nov-02;14:20:00;32.79;1.18;290.33466;315.9695;0.155;1.43;0.08333;1;9.41333;1;1.05667;1;7.705;1;6;8.91;1.22
18MF02066_622;351;47.26533;-59.77933;301574;197.94;02-nov-02;14:20:00;34.49;6.38;168.18956;167.34102;NaN;1.303;0.07333;1;20.29333;1;1.49333;1;17.29;1;6;13.59;1.17
18MF02066_622;351;47.26533;-59.77933;301573;301.35;02-nov-02;14:20:00;34.76;5.84;148.67314;148.13722;NaN;1.278;0.08;1;22.89333;1;1.70333;1;25.78;1;6;13.44;0.89
18MF02066_622;351;47.26533;-59.77933;301572;399.45;02-nov-02;14:20:00;34.87;5.21;166.93908;166.76044;NaN;1.315;0.08;1;22.28333;1;1.71;1;30.2;1;6;13.03;0.74
18MF02066_622;351;47.26533;-59.77933;301571;451.51;02-nov-02;14:20:00;34.87;5.2;166.40316;165.64394;NaN;1.338;0.06667;1;21.80667;1;1.69333;1;31.34333;1;6;12.88;0.70
18MF02066_623;361;47.10283;-59.9915;301588;2.18;02-nov-02;17:23:00;29.89;7.54;301.72296;297.52492;2.265;18.003;0.1;1;1.76;1;0.51667;1;3.51;1;6;3.41;0.50
18MF02066_623;361;47.10283;-59.9915;301587;5.26;02-nov-02;17:23:00;29.89;7.53;301.63364;297.74822;2.33;16.722;0.095;1;1.75;1;0.51333;1;3.595;1;6;3.41;0.49
