CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
181079022_001;0;44.2017;-63.4667;4108;10;06-aug-79;16:39:00;10;NaN;9;271.0862;4;0.195;1;0.565;1;0.755;1;6;0.35;0.26
181079022_001;0;44.2017;-63.4667;4107;20;06-aug-79;16:39:00;20;NaN;9;343.4354;4;0.17;1;0.63;1;0.65;1;6;0.27;0.26
181079022_001;0;44.2017;-63.4667;4106;30;06-aug-79;16:39:00;30;NaN;9;371.5712;4;0.22;1;0.575;1;0.635;1;6;0.38;0.35
181079022_001;0;44.2017;-63.4667;4104;50;06-aug-79;16:39:00;50;NaN;9;322.8918;4;3.12;7;1.005;7;2.485;1;518;3.10;1.26
181079022_001;0;44.2017;-63.4667;4105;50;06-aug-79;16:39:00;50;NaN;9;328.251;4;11.345;7;1.385;7;8.135;1;518;8.19;1.39
181079022_001;0;44.2017;-63.4667;4103;74;06-aug-79;16:39:00;75;NaN;9;230.4456;4;15.325;1;1.61;1;13.22;1;6;9.52;1.16
181079022_001;0;44.2017;-63.4667;4102;99;06-aug-79;16:39:00;100;NaN;9;187.1254;4;3.4;1;1.035;1;2.62;1;6;3.29;1.30
181079022_001;0;44.2017;-63.4667;4100;129;06-aug-79;16:39:00;130;34.528;7;NaN;9;18.145;7;1.755;7;15.81;1;512;10.34;1.15
181079022_001;0;44.2017;-63.4667;4101;129;06-aug-79;16:39:00;130;34.527;7;NaN;9;16.31;7;1.59;7;14.64;1;512;10.26;1.11
181079022_002;1;42.6833;-64;4117;10;07-aug-79;01:55:00;10;NaN;9;252.7756;4;0.27;1;0.51;1;0.55;1;6;0.53;0.49
181079022_002;1;42.6833;-64;4116;30;07-aug-79;01:55:00;30;NaN;9;318.4258;4;0.355;1;0.885;1;1.445;1;6;0.40;0.25
181079022_002;1;42.6833;-64;4115;50;07-aug-79;01:55:00;50;NaN;9;266.1736;4;4.17;1;1.03;1;3.245;1;6;4.05;1.29
181079022_002;1;42.6833;-64;4114;99;07-aug-79;01:55:00;100;NaN;9;200.97;4;12.83;1;1.2;1;5.66;1;6;10.69;2.27
181079022_002;1;42.6833;-64;4113;149;07-aug-79;01:55:00;150;NaN;9;188.0186;4;13.56;1;1.245;1;6.5;1;6;10.89;2.09
181079022_002;1;42.6833;-64;4112;198;07-aug-79;01:55:00;200;NaN;9;150.9508;4;19.08;1;1.52;1;9.955;1;6;12.55;1.92
181079022_002;1;42.6833;-64;4109;495;07-aug-79;01:55:00;500;34.937;7;328.251;4;20.925;7;1.68;7;13.045;1;518;12.46;1.60
181079022_002;1;42.6833;-64;4110;495;07-aug-79;01:55:00;500;34.935;7;227.766;4;19.165;7;1.58;7;12.04;1;518;12.13;1.59
181079022_002;1;42.6833;-64;4111;495;07-aug-79;01:55:00;500;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
181079022_113;2;42.785;-64.13;4126;10;07-aug-79;04:15:00;10;NaN;9;259.4746;4;0.285;1;0.49;1;0.61;2;2054;0.58;0.47
181079022_113;2;42.785;-64.13;4125;20;07-aug-79;04:15:00;20;NaN;9;294.756;4;0.27;1;0.525;1;0.95;1;6;0.51;0.28
181079022_113;2;42.785;-64.13;4124;30;07-aug-79;04:15:00;30;NaN;9;316.6394;4;0.345;1;0.5;1;1.565;1;6;0.69;0.22
181079022_113;2;42.785;-64.13;4122;50;07-aug-79;04:15:00;50;NaN;9;316.6394;4;0.435;7;0.59;7;2.085;1;518;0.74;0.21
181079022_113;2;42.785;-64.13;4123;50;07-aug-79;04:15:00;50;NaN;9;326.018;4;0.505;7;0.58;7;2.035;1;518;0.87;0.25
181079022_113;2;42.785;-64.13;4121;74;07-aug-79;04:15:00;75;NaN;9;246.9698;4;7.285;1;0.94;1;4.21;1;6;7.75;1.73
181079022_113;2;42.785;-64.13;4120;99;07-aug-79;04:15:00;100;NaN;9;217.4942;4;10.525;1;1.12;1;5.565;1;6;9.40;1.89
181079022_113;2;42.785;-64.13;4118;137;07-aug-79;04:15:00;138;35.2765;7;220.1738;4;16.76;7;1.305;7;8.47;1;518;12.84;1.98
181079022_113;2;42.785;-64.13;4119;137;07-aug-79;04:15:00;138;35.274;7;179.5332;4;16.195;7;1.33;7;8.295;1;518;12.18;1.95
181079022_225;3;42.9;-64.27667;4135;10;07-aug-79;05:42:00;10;NaN;9;259.9212;4;0.225;1;0.51;1;0.565;2;2054;0.44;0.40
181079022_225;3;42.9;-64.27667;4134;20;07-aug-79;05:42:00;20;NaN;9;326.018;4;0.345;1;0.655;1;0.705;1;6;0.53;0.49
181079022_225;3;42.9;-64.27667;4133;30;07-aug-79;05:42:00;30;NaN;9;342.5422;4;0.23;1;0.665;1;0.58;1;6;0.35;0.40
181079022_225;3;42.9;-64.27667;4131;50;07-aug-79;05:42:00;50;NaN;9;271.5328;4;4.71;7;1.045;7;2.49;1;518;4.51;1.89
181079022_225;3;42.9;-64.27667;4132;50;07-aug-79;05:42:00;50;NaN;9;300.5618;4;4.96;7;1.09;7;2.465;1;518;4.55;2.01
181079022_225;3;42.9;-64.27667;4130;74;07-aug-79;05:42:00;75;NaN;9;261.261;4;10.605;1;1.365;1;7.72;1;6;7.77;1.37
181079022_225;3;42.9;-64.27667;4129;99;07-aug-79;05:42:00;100;NaN;9;188.9118;4;16.5;1;1.515;1;12.015;1;6;10.89;1.37
181079022_225;3;42.9;-64.27667;4127;110;07-aug-79;05:42:00;111;34.2915;7;188.0186;4;16.585;7;1.45;7;12.045;1;518;11.44;1.38
181079022_225;3;42.9;-64.27667;4128;110;07-aug-79;05:42:00;111;34.2875;7;180.4264;4;14.35;7;1.385;7;10.565;1;518;10.36;1.36
181079022_264;4;43.01667;-64.425;4144;10;07-aug-79;07:05:00;10;NaN;9;269.2998;4;0.585;1;0.87;1;0.765;2;2054;0.67;0.76
181079022_264;4;43.01667;-64.425;4143;20;07-aug-79;07:05:00;20;NaN;9;345.6684;4;0.36;1;0.75;1;0.585;1;6;0.48;0.62
181079022_264;4;43.01667;-64.425;4142;30;07-aug-79;07:05:00;30;NaN;9;288.057;4;0.265;1;0.915;1;0.795;1;6;0.29;0.33
181079022_264;4;43.01667;-64.425;4140;50;07-aug-79;07:05:00;50;NaN;9;313.0666;4;5.565;7;1.195;7;3.26;1;518;4.66;1.71
181079022_264;4;43.01667;-64.425;4141;50;07-aug-79;07:05:00;50;NaN;9;321.9986;4;4.98;7;1.155;7;2.76;1;518;4.31;1.80
181079022_264;4;43.01667;-64.425;4139;74;07-aug-79;07:05:00;75;NaN;9;246.0766;4;11.28;1;1.36;1;8.65;1;6;8.29;1.30
