CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NA96013_113;CAST#1;46.0537;-60.626;158704;1;07-jul-96;12:26:00;22.316;15.59;282.34052;4;NaN;9;0.1015;1;0.09;1;0.2605;1;1.735;1;6;0.35;0.05
18NA96013_113;CAST#1;46.0537;-60.626;158703;34;07-jul-96;12:26:00;25.16;4.939;318.2025;4;NaN;9;0.161;1;3.685;1;0.6695;1;5.35;1;6;5.50;0.69
18NA96013_113;CAST#1;46.0537;-60.626;158702;69;07-jul-96;12:26:00;25.186;1.14;319.89958;4;NaN;9;0.1305;1;6.62;1;0.87;1;8.765;1;6;7.61;0.76
18NA96013_113;CAST#1;46.0537;-60.626;158701;136;07-jul-96;12:26:00;25.513;-0.002;338.16552;4;NaN;9;0.1455;1;5.94;1;1.098;1;10.375;1;6;5.41;0.57
18NA96013_225;CAST#1;46.0707;-60.6447;158706;7;07-jul-96;12:57:00;22.603;14.411;287.43176;4;NaN;9;0.1045;1;0.07;1;0.286;1;2.005;1;6;0.24;0.03
18NA96013_225;CAST#1;46.0707;-60.6447;158705;35;07-jul-96;12:57:00;25.125;5.499;315.12096;4;NaN;9;0.2855;1;3.055;1;0.707;1;4.925;1;6;4.32;0.62
18NA96013_264;CAST#1;46.1108;-60.555;158710;1;07-jul-96;13:42:00;22.237;16.243;278.14248;4;NaN;9;0.094;1;0.03;1;0.2255;1;2.06;1;6;0.13;0.01
18NA96013_264;CAST#1;46.1108;-60.555;158709;5;07-jul-96;13:42:00;22.248;16.187;278.0085;4;NaN;9;0.1055;1;0.05;1;0.256;1;2.13;1;6;0.20;0.02
18NA96013_264;CAST#1;46.1108;-60.555;158708;15;07-jul-96;13:42:00;24.32;9.696;294.80066;4;NaN;9;0.102;1;0.145;1;0.1915;1;2.23;1;6;0.76;0.07
18NA96013_264;CAST#1;46.1108;-60.555;158707;225;07-jul-96;13:42:00;25.569;0.196;211.06316;4;NaN;9;0.1215;1;14.045;1;1.4855;1;24.73;1;6;9.45;0.57
18NA96013_284;CAST#1;46.2197;-60.3697;158712;5;07-jul-96;15:08:00;22.146;17.624;269.2998;4;NaN;9;0.1005;1;0.01;1;0.229;1;2.02;1;6;0.04;0.00
18NA96013_284;CAST#1;46.2197;-60.3697;158711;15;07-jul-96;15:08:00;22.609;17.156;269.21048;4;NaN;9;0.1075;1;0.025;1;0.28;1;2.175;1;6;0.09;0.01
18NA96013_304;CAST#1;46.2275;-60.3217;158715;1;07-jul-96;15:30:00;22.187;18.184;267.42408;4;NaN;9;0.0995;1;0.02;1;0.2145;1;2.115;1;6;0.09;0.01
