CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_01;CHL_03;FLOR;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU00062_559;11;46.8835;-60.1465;232907;2.98;28-nov-00;20:12:00;29.75;6.24;290.20068;306.76954;0.175;0.385;1.867;NaN;1;0.13;1;3.925;1;NaN;9;0.66;1;NaN;9;6.445;1;NaN;9;6;5.95;0.61
18HU00062_559;11;46.8835;-60.1465;232906;6.05;28-nov-00;20:12:00;29.75;6.25;289.3968;305.74236;0.17;0.39;1.868;NaN;1;0.135;1;3.935;1;NaN;9;0.66;1;NaN;9;6.4;1;NaN;9;6;5.96;0.61
18HU00062_559;11;46.8835;-60.1465;232905;15.67;28-nov-00;20:12:00;29.76;6.24;284.43954;303.688;0.175;0.415;1.849;NaN;1;0.13;1;3.955;1;NaN;9;0.66;1;NaN;9;6.555;1;NaN;9;6;5.99;0.60
18HU00062_559;11;46.8835;-60.1465;232904;25.88;28-nov-00;20:12:00;29.76;6.25;279.3483;368.71296;0.145;0.34;1.871;NaN;1;0.145;1;3.915;1;NaN;9;0.66;1;NaN;9;6.23;1;NaN;9;6;5.93;0.63
18HU00062_559;11;46.8835;-60.1465;232903;49.98;28-nov-00;20:12:00;29.95;6.11;266.21826;299.40064;0.12;0.3;1.467;NaN;1;0.135;1;4.305;1;NaN;9;0.715;1;NaN;9;6.66;1;NaN;9;6;6.02;0.65
18HU00062_559;11;46.8835;-60.1465;232902;98.95;28-nov-00;20:12:00;32.25;1.68;226.29222;225.80096;0.065;0.155;0.795;NaN;1;0.015;1;14.04;1;NaN;9;1.43;1;NaN;9;15.84;1;NaN;9;6;9.82;0.89
18HU00062_559;11;46.8835;-60.1465;232901;149.2;28-nov-00;20:12:00;33.15;2.38;198.737;226.02426;NaN;NaN;0.579;NaN;9;0.03;1;14.71;1;NaN;9;1.33;1;NaN;9;15.55;1;NaN;9;6;11.06;0.95
18HU00062_560;22;46.98433;-60.03633;232914;2.88;28-nov-00;23:56:00;29.71;6.12;323.60636;314.04912;0.28;0.485;2.582;NaN;1;0.14;1;3.47;1;NaN;9;0.62;1;NaN;9;5.485;1;NaN;9;6;5.60;0.63
18HU00062_560;22;46.98433;-60.03633;232913;5.55;28-nov-00;23:56:00;29.71;6.11;321.81996;310.20836;0.355;0.575;2.655;NaN;1;0.14;1;3.435;1;NaN;9;0.62;1;NaN;9;5.475;1;NaN;9;6;5.54;0.63
18HU00062_560;22;46.98433;-60.03633;232912;15.17;28-nov-00;23:56:00;29.72;6.12;314.31708;312.03942;0.35;0.52;2.607;NaN;1;0.14;1;3.49;1;NaN;9;0.625;1;NaN;9;5.61;1;NaN;9;6;5.58;0.62
18HU00062_560;22;46.98433;-60.03633;232911;25.09;28-nov-00;23:56:00;30.02;5.85;305.921;309.31516;0.295;0.43;2.085;NaN;1;0.12;1;3.775;1;NaN;9;0.66;1;NaN;9;6.03;1;NaN;9;6;5.72;0.63
18HU00062_560;22;46.98433;-60.03633;232910;50.67;28-nov-00;23:56:00;30.67;4.48;289.93272;321.64132;0.315;0.5;2.277;NaN;1;0.185;1;3.705;1;NaN;9;0.62;1;NaN;9;4.055;1;NaN;9;6;5.98;0.91
18HU00062_560;22;46.98433;-60.03633;232909;99.44;28-nov-00;23:56:00;32.64;1.95;243.48632;246.79116;0.055;0.14;0.727;NaN;1;0.03;1;12.99;1;NaN;9;1.25;1;NaN;9;14.515;1;NaN;9;6;10.39;0.89
18HU00062_560;22;46.98433;-60.03633;232908;148.5;28-nov-00;23:56:00;33.29;2.68;202.9797;206.68648;NaN;NaN;0.627;NaN;9;0.035;1;16.255;1;NaN;9;1.41;1;NaN;9;18.06;1;NaN;9;6;11.53;0.90
18HU00062_561;31;47.08417;-59.9155;232925;3.37;29-nov-00;02:12:00;30.73;4.46;NaN;NaN;0.41;0.68;2.672;NaN;1;0.19;1;3.475;1;NaN;9;0.59;1;NaN;9;3.835;1;NaN;9;0;5.89;0.91
