Filename; Pressure; Uniqueno; Variable; Values; Test failed
18VA18667_002; 1.40; 444032; slca; 16.39  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_002; 5.35; 444031; slca; 16.25  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_002; 10.47; 444030; slca; 15.52  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=13.38 n=64)
18VA18667_113; 1.33; 444036; slca; 14.68  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_113; 5.41; 444035; slca; 14.77  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_113; 10.49; 444034; slca; 14.68  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=13.38 n=64)
18VA18667_225; 1.40; 444040; slca; 15.41  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_225; 5.43; 444039; slca; 14.29  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_225; 10.39; 444038; slca; 13.58  ; Out of Nutrient Climatology in box(es) 5 (Min=0.00 Max=13.38 n=64)
18VA18667_264; 1.40; 444044; slca; 15.52  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_264; 5.34; 444043; slca; 13.74  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_284; 1.28; 444048; slca; 13.28  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_284; 5.42; 444047; slca; 13.30  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=12.81 n=93)
18VA18667_284; 60.63; 444045; slca; 21.59  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=21.30 n=109)
18VA18667_304; 60.75; 444049; phos; 1.80  ; Out of Nutrient Climatology in box(es) 5 (Min=0.34 Max=1.30 n=125)
18VA18667_304; 1.47; 444052; slca; 17.00  ; Out of Nutrient Climatology in box(es) 5 (Min=3.85 Max=16.04 n=103)
18VA18667_304; 60.75; 444049; slca; 21.01  ; Out of Nutrient Climatology in box(es) 5 (Min=2.27 Max=16.79 n=134)
