Filename; Pressure; Uniqueno; Variable; Values; Test failed
18VA17667_002; 60.53; 434815; psal; 31.33; Bottle-CTD Difference Problem
18VA17667_002; 60.53; 434815; phos; 3.22  ; Out of Nutrient Climatology in box(es) 5 (Min=0.42 Max=1.95 n=109)
18VA17667_002; 60.53; 434815; slca; 40.40  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=21.30 n=109)
18VA17667_113; 60.73; 434819; psal; 31.31; Bottle-CTD Difference Problem
18VA17667_113; 60.73; 434819; phos; 3.33  ; Out of Nutrient Climatology in box(es) 5 (Min=0.42 Max=1.95 n=109)
18VA17667_113; 60.73; 434819; slca; 42.90  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=21.30 n=109)
18VA17667_225; 60.85; 434823; phos; 2.99  ; Out of Nutrient Climatology in box(es) 5 (Min=0.42 Max=1.95 n=109)
18VA17667_225; 60.85; 434823; slca; 40.52  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=21.30 n=109)
18VA17667_264; 60.79; 434827; phos; 3.04  ; Out of Nutrient Climatology in box(es) 5 (Min=0.42 Max=1.95 n=109)
18VA17667_264; 60.79; 434827; slca; 41.44  ; Out of Nutrient Climatology in box(es) 5 (Min=1.00 Max=21.30 n=109)
18VA17667_284; 60.73; 434831; ntrz; 18.47  ; Out of Nutrient Climatology in box(es) 5 (Min=2.22 Max=16.57 n=130)
18VA17667_284; 60.73; 434831; phos; 3.21  ; Out of Nutrient Climatology in box(es) 5 (Min=0.34 Max=1.30 n=125)
18VA17667_284; 60.73; 434831; slca; 38.34  ; Out of Nutrient Climatology in box(es) 5 (Min=2.27 Max=16.79 n=134)
18VA17667_304; 60.78; 434835; phos; 2.97  ; Out of Nutrient Climatology in box(es) 5 (Min=0.34 Max=1.30 n=125)
18VA17667_304; 60.78; 434835; slca; 36.34  ; Out of Nutrient Climatology in box(es) 5 (Min=2.27 Max=16.79 n=134)
18VA17667_315; 60.68; 434839; phos; 1.76  ; Out of Nutrient Climatology in box(es) 5 (Min=0.34 Max=1.30 n=125)
18VA17667_315; 60.68; 434839; slca; 21.73  ; Out of Nutrient Climatology in box(es) 5 (Min=2.27 Max=16.79 n=134)
18VA17667_326; 60.76; 434843; phos; 1.59  ; Out of Nutrient Climatology in box(es) 5 (Min=0.34 Max=1.30 n=125)
18VA17667_326; 60.76; 434843; slca; 19.00  ; Out of Nutrient Climatology in box(es) 5 (Min=2.27 Max=16.79 n=134)
18VA17667_339; 1.81; 434850; slca; 19.70  ; Out of Nutrient Climatology in box(es) 5 (Min=0.20 Max=14.29 n=147)
18VA17667_339; 10.48; 434848; slca; 11.76  ; Out of Nutrient Climatology in box(es) 5 (Min=0.16 Max=9.98 n=139)
18VA17667_339; 60.62; 434847; slca; 16.34  ; Out of Nutrient Climatology in box(es) 5 (Min=0.19 Max=13.15 n=219)
18VA17667_003; 10.51; 434852; slca; 12.09  ; Out of Nutrient Climatology in box(es) 5 (Min=0.16 Max=9.98 n=139)
