CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;SSAL_XX;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
180166005_058;CAST#1;44.58333;-64.03333;-15;10;11-jul-66;00:00:00;335;4;31.37;1.12;1;0.01;1;0;1;0.31;1;1.7;1;6;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-16;15;11-jul-66;00:00:00;340;4;31.46;1.42;1;0;1;0;1;0.34;1;2.4;1;6;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-17;25;11-jul-66;00:00:00;345;4;31.63;2.05;1;0.01;1;0;1;0.37;1;1.9;1;6;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-18;45;11-jul-66;00:00:00;290;4;31.91;1.35;1;0.18;1;2.41;1;0.95;1;11.3;1;6;2.54;0.21
180166005_091;CAST#1;44.58333;-64.03333;-37;1;14-jul-66;00:00:00;250;4;30.13;0.6;1;0.02;1;0;1;0.16;1;1.2;1;6;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-38;5;14-jul-66;00:00:00;260;4;30.98;1.05;1;0.01;1;0;1;0.2;1;1.4;1;6;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-39;10;14-jul-66;00:00:00;280;4;31.01;1.42;1;0;1;0;1;0.18;1;2.5;1;6;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-40;15;14-jul-66;00:00:00;325;4;NaN;2.4;1;0;1;0;1;0.26;1;1.9;1;6;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-41;25;14-jul-66;00:00:00;335;4;31.61;1.81;1;0;1;0;1;0.36;1;2;1;6;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-42;45;14-jul-66;00:00:00;290;4;31.89;1.2;1;0.18;1;2.32;1;0.78;1;6.9;1;6;2.97;0.34
180166005_102;CAST#1;44.58333;-64.03333;-43;1;18-jul-66;00:00:00;280;4;30.63;1.03;1;0;1;0;1;0.15;1;1.3;1;6;0.00;0.00
180166005_102;CAST#1;44.58333;-64.03333;-44;5;18-jul-66;00:00:00;305;4;30.91;1.03;1;0;1;0;1;0.17;1;1.1;1;6;0.00;0.00
180166005_102;CAST#1;44.58333;-64.03333;-45;10;18-jul-66;00:00:00;375;4;31.56;1.88;1;0.01;1;0;1;0.26;1;2.6;1;6;0.00;0.00
180166005_102;CAST#1;44.58333;-64.03333;-46;15;18-jul-66;00:00:00;370;4;31.55;2.03;1;0;1;0;1;0.3;1;1.9;1;6;0.00;0.00
180166005_102;CAST#1;44.58333;-64.03333;-47;25;18-jul-66;00:00:00;360;4;31.61;2.1;1;0.01;1;0.21;1;0.49;1;2.2;1;6;0.43;0.10
180166005_102;CAST#1;44.58333;-64.03333;-48;45;18-jul-66;00:00:00;320;4;31.75;1.96;1;2.17;1;2.02;1;0.84;1;8.1;1;6;2.40;0.25
180166005_138;CAST#1;44.58333;-64.03333;-49;1;21-jul-66;00:00:00;315;4;30.85;1.05;1;0;1;0;1;0.16;1;2.6;1;6;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-50;5;21-jul-66;00:00:00;335;4;31.25;1.42;1;0;1;0;1;0.18;1;1.9;1;6;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-51;10;21-jul-66;00:00:00;385;4;31.7;2.18;1;0;1;0;1;0.19;1;1.9;1;6;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-52;15;21-jul-66;00:00:00;385;4;31.7;2.33;1;0;1;0;1;0.3;1;2.7;1;6;0.00;0.00
180166005_138;CAST#1;44.58333;-64.03333;-53;25;21-jul-66;00:00:00;370;4;31.79;2.78;1;0.03;1;0.13;1;0.54;1;2.9;1;6;0.24;0.04
180166005_138;CAST#1;44.58333;-64.03333;-54;45;21-jul-66;00:00:00;330;4;31.91;1.75;1;0.2;1;2.18;1;0.9;1;9.7;1;6;2.42;0.22
180166005_149;CAST#1;44.58333;-64.03333;-55;1;25-jul-66;00:00:00;285;4;30.51;0.75;1;0;1;0;1;0.17;1;3;1;6;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-56;5;25-jul-66;00:00:00;290;4;31.1;0.6;1;0;1;0;1;0.09;1;1.5;1;6;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-57;10;25-jul-66;00:00:00;380;4;31.56;1.24;1;0;1;0;1;0.16;1;1.6;1;6;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-58;15;25-jul-66;00:00:00;395;4;31.56;2.33;1;0;1;0;1;0.26;1;3.2;1;6;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-59;25;25-jul-66;00:00:00;355;4;31.68;1.35;1;0.01;1;0;1;0.42;1;3.5;1;6;0.00;0.00
180166005_149;CAST#1;44.58333;-64.03333;-60;45;25-jul-66;00:00:00;315;4;31.84;2.03;1;0.14;1;1.36;1;0.76;1;5.5;1;6;1.79;0.25
180166005_182;CAST#1;44.58333;-64.03333;-61;1;28-jul-66;00:00:00;270;4;30.569;0.68;1;0.01;1;0;1;0.18;1;3.9;1;6;0.00;0.00
180166005_182;CAST#1;44.58333;-64.03333;-62;5;28-jul-66;00:00:00;310;4;31.259;0.6;1;0;1;0.29;1;0.17;1;2.1;1;6;1.71;0.14
180166005_182;CAST#1;44.58333;-64.03333;-63;10;28-jul-66;00:00:00;305;4;31.189;0.9;1;0.01;1;0.13;1;0.18;1;1.6;1;6;0.72;0.08
180166005_182;CAST#1;44.58333;-64.03333;-64;15;28-jul-66;00:00:00;320;4;31.256;1.88;1;0.05;1;0.15;1;0.15;1;3.1;1;6;1.00;0.05
180166005_182;CAST#1;44.58333;-64.03333;-65;25;28-jul-66;00:00:00;360;4;NaN;2.93;1;0.01;1;0.19;1;0.21;1;2.4;1;6;0.90;0.08
180166005_182;CAST#1;44.58333;-64.03333;-66;45;28-jul-66;00:00:00;320;4;31.649;1.58;1;0.09;1;0.9;1;0.69;1;3.8;1;6;1.30;0.24
180166005_204;CAST#1;44.58333;-64.03333;-67;1;01-aug-66;00:00:00;275;4;30.736;0.6;1;0.01;1;0.27;1;0.2;1;2.2;1;6;1.35;0.12
180166005_204;CAST#1;44.58333;-64.03333;-68;5;01-aug-66;00:00:00;300;4;30.945;0.75;1;0.01;1;0.07;1;0.19;1;1.6;1;6;0.37;0.04
180166005_204;CAST#1;44.58333;-64.03333;-69;10;01-aug-66;00:00:00;330;4;31.316;1.35;1;0.01;1;0.16;1;0.2;1;1.8;1;6;0.80;0.09
180166005_204;CAST#1;44.58333;-64.03333;-70;15;01-aug-66;00:00:00;340;4;31.356;1.8;1;0.02;1;0.16;1;0.22;1;3.2;1;6;0.73;0.05
180166005_204;CAST#1;44.58333;-64.03333;-71;25;01-aug-66;00:00:00;365;4;31.498;2.8;1;0.02;1;0.16;1;0.28;1;2.4;1;6;0.57;0.07
180166005_204;CAST#1;44.58333;-64.03333;-72;45;01-aug-66;00:00:00;325;4;31.677;1.2;1;0.16;1;1.36;1;0.84;1;7;1;6;1.62;0.19
180166005_239;CAST#1;44.58333;-64.03333;-73;1;08-aug-66;00:00:00;270;4;30.594;0.75;1;0.01;1;0.03;1;0.2;1;3.4;2;2054;0.15;0.01
180166005_239;CAST#1;44.58333;-64.03333;-74;5;08-aug-66;00:00:00;305;4;31.129;0.75;1;0.01;1;0.13;1;0.16;1;2.5;2;2054;0.81;0.05
180166005_239;CAST#1;44.58333;-64.03333;-75;10;08-aug-66;00:00:00;320;4;31.216;0.9;1;0.02;1;0.13;1;0.24;1;3.2;2;2054;0.54;0.04
180166005_239;CAST#1;44.58333;-64.03333;-76;15;08-aug-66;00:00:00;335;4;31.308;1.42;1;0.02;1;0.13;1;0.33;1;4.6;1;6;0.39;0.03
180166005_239;CAST#1;44.58333;-64.03333;-77;25;08-aug-66;00:00:00;340;4;31.507;1.2;1;0.05;1;0.14;1;0.4;1;3.4;1;6;0.35;0.04
180166005_239;CAST#1;44.58333;-64.03333;-78;45;08-aug-66;00:00:00;315;4;31.658;0.75;1;0.12;1;1.12;1;0.74;1;7.1;1;6;1.51;0.16
180166005_244;CAST#1;44.58333;-64.03333;-79;1;11-aug-66;00:00:00;260;4;30.617;0.75;1;0.01;1;0.61;1;0.18;1;3.3;2;2054;3.39;0.18
180166005_244;CAST#1;44.58333;-64.03333;-80;5;11-aug-66;00:00:00;270;4;30.874;1.12;1;0.01;1;0.42;1;0.22;1;2.1;1;6;1.91;0.20
180166005_244;CAST#1;44.58333;-64.03333;-81;10;11-aug-66;00:00:00;310;4;31.116;1.28;1;0.01;1;0.41;1;0.25;1;2.4;2;2054;1.64;0.17
180166005_244;CAST#1;44.58333;-64.03333;-82;15;11-aug-66;00:00:00;330;4;31.333;1.96;1;0;1;0.39;1;0.26;1;2.8;1;6;1.50;0.14
180166005_244;CAST#1;44.58333;-64.03333;-83;25;11-aug-66;00:00:00;320;4;31.449;0.98;1;0.04;1;0.67;1;0.36;1;3.5;1;6;1.86;0.19
180166005_244;CAST#1;44.58333;-64.03333;-84;45;11-aug-66;00:00:00;290;4;NaN;0.68;1;0.13;1;1.45;1;0.87;1;10;1;6;1.67;0.14
180166005_247;CAST#1;44.58333;-64.03333;-85;1;15-aug-66;00:00:00;265;4;31.012;0.82;1;0;1;0.49;1;0.17;1;2.2;1;6;2.88;0.22
180166005_247;CAST#1;44.58333;-64.03333;-86;5;15-aug-66;00:00:00;320;4;31.102;1.64;1;0;1;1.2;1;0.19;1;2.5;2;2054;6.32;0.48
180166005_247;CAST#1;44.58333;-64.03333;-87;10;15-aug-66;00:00:00;330;4;NaN;2.02;1;0.01;1;0.49;1;0.29;1;3.3;2;2054;1.69;0.15
