CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_03;Q_CHL;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL01006_002;STN27;47.5467;-52.5867;253010;6;13-jul-01;22:24:00;5.61;31.369;1;345.9333;4;9.838;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL01006_002;STN27;47.5467;-52.5867;253009;9;13-jul-01;22:24:00;9.32;31.509;1;351.1584;4;9.27;1;0.57;1;0.51;1;0.34;1;0.24;1;0.24;1;6;1.42;1.42
18TL01006_002;STN27;47.5467;-52.5867;253008;20;13-jul-01;22:24:00;20.1;31.912;1;407.4295;4;3.164;1;1.89;1;1.68;1;0;1;0.37;1;0.1;1;6;0.00;0.00
18TL01006_002;STN27;47.5467;-52.5867;253007;30;13-jul-01;22:24:00;30.6;32.076;1;410.5557;4;1.588;1;1.47;1;1.34;1;0.93;1;0.45;1;0.3;1;6;2.07;3.10
18TL01006_002;STN27;47.5467;-52.5867;253006;39;13-jul-01;22:24:00;38.98;32.199;1;402.115;4;0.831;1;0.64;1;0.79;1;0.52;1;0.43;1;0.23;1;6;1.21;2.26
18TL01006_002;STN27;47.5467;-52.5867;253005;50;13-jul-01;22:24:00;50.05;32.307;1;396.0413;4;0.172;1;1.14;1;0.99;1;0.4;1;0.26;1;0.18;1;6;1.54;2.22
18TL01006_002;STN27;47.5467;-52.5867;253004;74;13-jul-01;22:24:00;74.41;32.531;1;382.7328;4;-0.937;1;0.13;1;0.11;1;3.92;1;1.28;1;2.12;1;6;3.06;1.85
18TL01006_002;STN27;47.5467;-52.5867;253003;101;13-jul-01;22:24:00;101.92;32.663;1;377.7755;4;-1.248;1;0.09;1;0.06;1;6.91;1;1.67;1;9.56;1;6;4.14;0.72
