CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_03;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL03004_002;STN27;47.5467;-52.5867;256090;6;19-apr-03;21:02:00;5.68;32.566;1;396.1753;4;-0.677;1;2.41;1;2.26;1;0.92;1;3.79;1;6;2.46;0.60
18TL03004_002;STN27;47.5467;-52.5867;256089;10;19-apr-03;21:02:00;10.24;32.563;1;395.9073;4;-0.657;1;2.54;1;2.51;1;0.82;1;3.92;1;6;3.06;0.64
18TL03004_002;STN27;47.5467;-52.5867;256088;19;19-apr-03;21:02:00;19.25;32.608;1;388.5385;4;-1.037;1;2.33;1;3.25;1;0.92;1;4.64;1;6;3.53;0.70
18TL03004_002;STN27;47.5467;-52.5867;256087;31;19-apr-03;21:02:00;30.96;32.622;1;382.8667;4;-1.09;1;1.55;1;4.29;1;0.9;1;4.77;1;6;4.77;0.90
18TL03004_002;STN27;47.5467;-52.5867;256086;40;19-apr-03;21:02:00;40.79;32.624;1;382.1522;4;-1.103;1;1.48;1;4.25;1;1.03;1;5.42;1;6;4.13;0.78
18TL03004_002;STN27;47.5467;-52.5867;256085;50;19-apr-03;21:02:00;50.47;32.641;1;377.6862;4;-1.159;1;1.11;1;4.96;1;0.87;1;5.53;1;6;5.70;0.90
18TL03004_002;STN27;47.5467;-52.5867;256084;75;19-apr-03;21:02:00;75.9;32.664;1;375.3193;4;-1.224;1;0.85;1;5.3;1;0.94;1;5.31;1;6;5.64;1.00
18TL03004_002;STN27;47.5467;-52.5867;256083;103;19-apr-03;21:02:00;103.88;32.717;1;376.6591;4;-1.351;1;0.67;1;5.66;1;0.99;1;5.87;1;6;5.72;0.96
18TL03004_002;STN27;47.5467;-52.5867;256082;148;19-apr-03;21:02:00;149.1;32.813;1;360.001;4;-1.503;1;NaN;9;7.05;1;1.11;1;6.8;1;6;6.35;1.04
18TL03004_002;STN27;47.5467;-52.5867;256081;170;19-apr-03;21:02:00;171.7;32.874;1;353.8827;4;-1.373;1;NaN;9;7.24;1;1.11;1;8.4;1;6;6.52;0.86
18TL03004_113;SEGB-01;46.5833;-52.9333;256096;5;20-apr-03;03:49:00;4.62;32.668;1;393.8083;4;-0.963;1;3.43;1;3.88;1;0.86;1;3.44;1;6;4.51;1.13
18TL03004_113;SEGB-01;46.5833;-52.9333;256095;10;20-apr-03;03:49:00;10.13;32.669;1;393.6297;4;-0.97;1;3.36;1;2.82;1;0.76;1;4.64;1;6;3.71;0.61
18TL03004_113;SEGB-01;46.5833;-52.9333;256094;19;20-apr-03;03:49:00;19.46;32.691;1;387.1541;4;-1.113;1;2.72;1;3.52;1;0.83;1;4.74;1;6;4.24;0.74
18TL03004_113;SEGB-01;46.5833;-52.9333;256093;30;20-apr-03;03:49:00;29.99;32.696;1;384.0726;4;-1.229;1;2.51;1;4.04;1;0.81;1;4.58;1;6;4.99;0.88
18TL03004_113;SEGB-01;46.5833;-52.9333;256092;39;20-apr-03;03:49:00;39.68;32.695;1;384.0726;4;-1.231;1;2.23;1;4.05;1;0.89;1;4.23;1;6;4.55;0.96
18TL03004_113;SEGB-01;46.5833;-52.9333;256091;50;20-apr-03;03:49:00;50.78;32.694;1;383.7153;4;-1.239;1;1.77;1;4.15;1;0.91;1;4.37;1;6;4.56;0.95
18TL03004_225;SEGB-02;46.5;-52.85;256097;177;20-apr-03;05:02:00;178.18;32.843;1;369.6028;4;-1.513;1;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL03004_264;SEGB-03;46.35;-52.7333;256107;4;20-apr-03;06:14:00;4.37;32.775;1;385.5463;4;-0.977;1;1.29;1;4.76;1;0.9;1;3.5;1;6;5.29;1.36
18TL03004_264;SEGB-03;46.35;-52.7333;256106;10;20-apr-03;06:14:00;10.57;32.775;1;385.7696;4;-0.981;1;1.46;1;5.4;1;1.04;1;4.17;1;6;5.19;1.29
18TL03004_264;SEGB-03;46.35;-52.7333;256105;19;20-apr-03;06:14:00;19.66;32.775;1;385.6357;4;-1.086;1;1.46;1;5.21;1;0.79;1;3.71;1;6;6.59;1.40
18TL03004_264;SEGB-03;46.35;-52.7333;256104;31;20-apr-03;06:14:00;30.98;32.774;1;384.9211;4;-1.152;1;1.23;1;5.31;1;1.01;1;3.65;1;6;5.26;1.45
18TL03004_264;SEGB-03;46.35;-52.7333;256103;40;20-apr-03;06:14:00;40.56;32.774;1;383.492;4;-1.162;1;1.23;1;5.76;1;1.06;1;3.78;1;6;5.43;1.52
18TL03004_264;SEGB-03;46.35;-52.7333;256102;50;20-apr-03;06:14:00;50.05;32.775;1;382.4648;4;-1.169;1;1.48;1;5.32;1;0.68;1;3.69;1;6;7.82;1.44
18TL03004_264;SEGB-03;46.35;-52.7333;256101;75;20-apr-03;06:14:00;75.81;32.911;1;367.7271;4;-1.464;1;0.69;1;7.09;1;1.31;1;5.08;1;6;5.41;1.40
18TL03004_264;SEGB-03;46.35;-52.7333;256100;100;20-apr-03;06:14:00;100.97;32.946;1;365.5835;4;-1.468;1;0.49;1;10.79;1;1.05;1;5.3;1;6;10.28;2.04
18TL03004_264;SEGB-03;46.35;-52.7333;256099;149;20-apr-03;06:14:00;150.09;32.977;1;364.0651;4;-1.394;1;NaN;9;7.62;1;1.27;1;5.71;1;6;6.00;1.33
18TL03004_264;SEGB-03;46.35;-52.7333;256098;166;20-apr-03;06:14:00;167.1;33.14;1;358.2146;4;-0.989;1;NaN;9;10.22;1;1.3;2;5.7;1;2054;7.86;1.79
18TL03004_284;SEGB-04;46.2083;-52.6083;256108;122;20-apr-03;08:07:00;122.63;33.148;1;359.3758;4;-0.989;1;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL03004_304;SEGB-05;46.07;-52.5;256116;5;20-apr-03;09:11:00;5.33;32.944;1;396.8899;4;-0.446;1;3.6;1;2.55;1;0.69;1;1.04;1;6;3.70;2.45
18TL03004_304;SEGB-05;46.07;-52.5;256115;9;20-apr-03;09:11:00;9.2;32.944;1;396.8005;4;-0.447;1;3.69;1;2.48;1;0.66;1;1.12;1;6;3.76;2.21
18TL03004_304;SEGB-05;46.07;-52.5;256114;20;20-apr-03;09:11:00;19.69;32.944;1;397.0239;4;-0.494;1;3.89;1;2.71;1;0.76;1;1.33;1;6;3.57;2.04
18TL03004_304;SEGB-05;46.07;-52.5;256113;29;20-apr-03;09:11:00;29.52;32.945;1;390.9948;4;-0.647;1;3.96;1;3.27;1;0.72;1;1.53;1;6;4.54;2.14
18TL03004_304;SEGB-05;46.07;-52.5;256112;39;20-apr-03;09:11:00;39.66;32.945;1;390.5036;4;-0.647;1;3.34;1;3.21;1;0.9;1;1.78;1;6;3.57;1.80
18TL03004_304;SEGB-05;46.07;-52.5;256111;49;20-apr-03;09:11:00;49.49;32.945;1;389.3424;4;-0.644;1;3.46;1;3.08;1;0.72;1;1.13;1;6;4.28;2.73
