CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL16002_113;HL_02;44.2698;-63.31776;429103;1.7;23-feb-16;15:54:00;1.708;30.9991;1.129;7.7866;0.34352;1;31.002;1;7.8715;1;0.17667;1;5.58667;1;0.78233;1;6.29667;1;0;7.14;0.89
18TL16002_113;HL_02;44.26976;-63.31772;429102;5.12;23-feb-16;15:53:00;5.121;30.9992;1.1237;7.7788;0.32634;1;NaN;9;NaN;9;0.17667;1;5.59333;1;0.77667;1;6.34667;1;0;7.20;0.88
18TL16002_113;HL_02;44.26974;-63.31768;429101;10.11;23-feb-16;15:53:00;10.114;30.9989;1.1152;7.772;0.47233;1;NaN;9;NaN;9;0.15667;1;5.34333;1;0.75633;1;6.05667;1;0;7.06;0.88
18TL16002_113;HL_02;44.26972;-63.31766;429100;19.73;23-feb-16;15:52:00;19.739;30.9992;1.0719;7.778;0.43798;1;NaN;9;NaN;9;0.16667;1;5.49333;1;0.87067;1;6.24667;1;0;6.31;0.88
18TL16002_113;HL_02;44.26966;-63.31764;429099;30.69;23-feb-16;15:51:00;30.696;31.0176;1.1142;7.7673;0.3521;1;NaN;9;NaN;9;0.17;1;5.86;1;0.78767;1;6.52667;1;0;7.44;0.90
18TL16002_113;HL_02;44.26962;-63.31762;429098;40.74;23-feb-16;15:51:00;40.745;31.0394;1.1456;7.7165;0.30487;1;31.039;1;7.957;1;0.17333;1;5.81667;1;0.77267;1;6.33667;1;0;7.53;0.92
18TL16002_113;HL_02;44.2695;-63.31758;429097;49.96;23-feb-16;15:49:00;49.969;31.0416;1.1193;7.6935;0.27052;1;NaN;9;NaN;9;0.17;1;6.11667;1;0.80433;1;6.60333;1;0;7.60;0.93
18TL16002_113;HL_02;44.26938;-63.31758;429096;74.77;23-feb-16;15:48:00;74.779;31.3061;1.6705;7.2646;0.15458;1;NaN;9;NaN;9;0.08667;1;6.24333;1;0.801;1;6.82333;1;0;7.79;0.91
